fecha,producto,categoria,cantidad,precio_venta,costo,promo,stock_final,stock_inicial,is_holiday,producto_norm,product_id
2019-01-05,Health and beauty,Health and beauty,7.0,74.69,74.69000000000001,0,0,0,0,and beauty health,PROD_aafc543acc
2019-03-08,Electronic accessories,Electronic accessories,5.0,15.28,15.28,0,0,0,0,accessories electronic,PROD_ec3b6d061e
2019-03-03,Home and lifestyle,Home and lifestyle,7.0,46.33,46.33,0,0,0,0,and home lifestyle,PROD_0976a9e082
2019-01-27,Health and beauty,Health and beauty,8.0,58.22,58.22,0,0,0,0,and beauty health,PROD_aafc543acc
2019-02-08,Sports and travel,Sports and travel,7.0,86.31,86.30999999999999,0,0,0,0,and sports travel,PROD_75f6c13b2a
2019-03-25,Electronic accessories,Electronic accessories,7.0,85.39,85.39,0,0,0,0,accessories electronic,PROD_ec3b6d061e
2019-02-25,Electronic accessories,Electronic accessories,6.0,68.84,68.84,0,0,0,0,accessories electronic,PROD_ec3b6d061e
2019-02-24,Home and lifestyle,Home and lifestyle,10.0,73.56,73.56,0,0,0,0,and home lifestyle,PROD_0976a9e082
2019-01-10,Health and beauty,Health and beauty,2.0,36.26,36.26,0,0,0,0,and beauty health,PROD_aafc543acc
2019-02-20,Food and beverages,Food and beverages,3.0,54.84,54.84,0,0,0,0,and beverages food,PROD_4e4afdb86b
2019-02-06,Fashion accessories,Fashion accessories,4.0,14.48,14.48,0,0,0,0,accessories fashion,PROD_c993e6031f
2019-03-09,Electronic accessories,Electronic accessories,4.0,25.51,25.51,0,0,0,0,accessories electronic,PROD_ec3b6d061e
2019-02-12,Electronic accessories,Electronic accessories,5.0,46.95,46.95,0,0,0,0,accessories electronic,PROD_ec3b6d061e
2019-02-07,Food and beverages,Food and beverages,10.0,43.19,43.19,0,0,0,0,and beverages food,PROD_4e4afdb86b
2019-03-29,Health and beauty,Health and beauty,10.0,71.38,71.38,0,0,0,0,and beauty health,PROD_aafc543acc
2019-01-15,Sports and travel,Sports and travel,6.0,93.72,93.72,0,0,0,0,and sports travel,PROD_75f6c13b2a
2019-03-11,Health and beauty,Health and beauty,7.0,68.93,68.92999999999999,0,0,0,0,and beauty health,PROD_aafc543acc
2019-01-01,Sports and travel,Sports and travel,6.0,72.61,72.61,0,0,0,0,and sports travel,PROD_75f6c13b2a
2019-01-21,Food and beverages,Food and beverages,3.0,54.67,54.67,0,0,0,0,and beverages food,PROD_4e4afdb86b
2019-03-11,Home and lifestyle,Home and lifestyle,2.0,40.3,40.3,0,0,0,0,and home lifestyle,PROD_0976a9e082
2019-02-25,Electronic accessories,Electronic accessories,5.0,86.04,86.03999999999999,0,0,0,0,accessories electronic,PROD_ec3b6d061e
2019-03-05,Health and beauty,Health and beauty,3.0,87.98,87.98,0,0,0,0,and beauty health,PROD_aafc543acc
2019-03-15,Home and lifestyle,Home and lifestyle,2.0,33.2,33.2,0,0,0,0,and home lifestyle,PROD_0976a9e082
2019-02-17,Electronic accessories,Electronic accessories,5.0,34.56,34.56,0,0,0,0,accessories electronic,PROD_ec3b6d061e
2019-03-02,Sports and travel,Sports and travel,3.0,88.63,88.63,0,0,0,0,and sports travel,PROD_75f6c13b2a
2019-03-22,Home and lifestyle,Home and lifestyle,8.0,52.59,52.59,0,0,0,0,and home lifestyle,PROD_0976a9e082
2019-02-08,Fashion accessories,Fashion accessories,1.0,33.52,33.52,0,0,0,0,accessories fashion,PROD_c993e6031f
2019-03-10,Fashion accessories,Fashion accessories,2.0,87.67,87.67,0,0,0,0,accessories fashion,PROD_c993e6031f
2019-01-25,Food and beverages,Food and beverages,5.0,88.36,88.36,0,0,0,0,and beverages food,PROD_4e4afdb86b
2019-03-15,Health and beauty,Health and beauty,9.0,24.89,24.89,0,0,0,0,and beauty health,PROD_aafc543acc
2019-02-25,Fashion accessories,Fashion accessories,5.0,94.13,94.13,0,0,0,0,accessories fashion,PROD_c993e6031f
2019-01-28,Sports and travel,Sports and travel,9.0,78.07,78.07,0,0,0,0,and sports travel,PROD_75f6c13b2a
2019-01-10,Sports and travel,Sports and travel,8.0,83.78,83.78,0,0,0,0,and sports travel,PROD_75f6c13b2a
2019-03-15,Health and beauty,Health and beauty,2.0,96.58,96.58,0,0,0,0,and beauty health,PROD_aafc543acc
2019-02-06,Food and beverages,Food and beverages,4.0,99.42,99.42,0,0,0,0,and beverages food,PROD_4e4afdb86b
2019-01-07,Sports and travel,Sports and travel,1.0,68.12,68.12,0,0,0,0,and sports travel,PROD_75f6c13b2a
2019-03-10,Sports and travel,Sports and travel,5.0,62.62,62.620000000000005,0,0,0,0,and sports travel,PROD_75f6c13b2a
2019-01-15,Electronic accessories,Electronic accessories,9.0,60.88,60.88,0,0,0,0,accessories electronic,PROD_ec3b6d061e
2019-03-23,Health and beauty,Health and beauty,8.0,54.92,54.92,0,0,0,0,and beauty health,PROD_aafc543acc
2019-03-03,Home and lifestyle,Home and lifestyle,8.0,30.12,30.12,0,0,0,0,and home lifestyle,PROD_0976a9e082
2019-01-17,Home and lifestyle,Home and lifestyle,1.0,86.72,86.72,0,0,0,0,and home lifestyle,PROD_0976a9e082
2019-02-02,Home and lifestyle,Home and lifestyle,2.0,56.11,56.11,0,0,0,0,and home lifestyle,PROD_0976a9e082
2019-02-08,Sports and travel,Sports and travel,6.0,69.12,69.12,0,0,0,0,and sports travel,PROD_75f6c13b2a
2019-03-04,Food and beverages,Food and beverages,8.0,98.7,98.7,0,0,0,0,and beverages food,PROD_4e4afdb86b
2019-03-16,Health and beauty,Health and beauty,2.0,15.37,15.37,0,0,0,0,and beauty health,PROD_aafc543acc
2019-03-09,Electronic accessories,Electronic accessories,4.0,93.96,93.96,0,0,0,0,accessories electronic,PROD_ec3b6d061e
2019-02-27,Health and beauty,Health and beauty,9.0,56.69,56.69,0,0,0,0,and beauty health,PROD_aafc543acc
2019-02-06,Food and beverages,Food and beverages,9.0,20.01,20.01,0,0,0,0,and beverages food,PROD_4e4afdb86b
2019-02-10,Electronic accessories,Electronic accessories,6.0,18.93,18.93,0,0,0,0,accessories electronic,PROD_ec3b6d061e
2019-03-19,Fashion accessories,Fashion accessories,10.0,82.63,82.63,0,0,0,0,accessories fashion,PROD_c993e6031f
2019-02-03,Food and beverages,Food and beverages,7.0,91.4,91.4,0,0,0,0,and beverages food,PROD_4e4afdb86b
2019-02-10,Food and beverages,Food and beverages,5.0,44.59,44.59,0,0,0,0,and beverages food,PROD_4e4afdb86b
2019-03-22,Fashion accessories,Fashion accessories,4.0,17.87,17.87,0,0,0,0,accessories fashion,PROD_c993e6031f
2019-01-25,Fashion accessories,Fashion accessories,1.0,15.43,15.43,0,0,0,0,accessories fashion,PROD_c993e6031f
2019-03-07,Home and lifestyle,Home and lifestyle,2.0,16.16,16.16,0,0,0,0,and home lifestyle,PROD_0976a9e082
2019-02-28,Electronic accessories,Electronic accessories,8.0,85.98,85.98,0,0,0,0,accessories electronic,PROD_ec3b6d061e
2019-03-27,Home and lifestyle,Home and lifestyle,2.0,44.34,44.34,0,0,0,0,and home lifestyle,PROD_0976a9e082
2019-02-07,Health and beauty,Health and beauty,8.0,89.6,89.6,0,0,0,0,and beauty health,PROD_aafc543acc
2019-01-20,Home and lifestyle,Home and lifestyle,10.0,72.35,72.35,0,0,0,0,and home lifestyle,PROD_0976a9e082
2019-03-12,Electronic accessories,Electronic accessories,6.0,30.61,30.61,0,0,0,0,accessories electronic,PROD_ec3b6d061e
2019-02-15,Sports and travel,Sports and travel,3.0,24.74,24.74,0,0,0,0,and sports travel,PROD_75f6c13b2a
2019-02-24,Home and lifestyle,Home and lifestyle,6.0,55.73,55.73,0,0,0,0,and home lifestyle,PROD_0976a9e082
2019-02-03,Sports and travel,Sports and travel,9.0,55.07,55.07,0,0,0,0,and sports travel,PROD_75f6c13b2a
2019-03-06,Sports and travel,Sports and travel,10.0,15.81,15.81,0,0,0,0,and sports travel,PROD_75f6c13b2a
2019-02-14,Health and beauty,Health and beauty,4.0,75.74,75.74,0,0,0,0,and beauty health,PROD_aafc543acc
2019-03-13,Health and beauty,Health and beauty,10.0,15.87,15.87,0,0,0,0,and beauty health,PROD_aafc543acc
2019-02-10,Health and beauty,Health and beauty,2.0,33.47,33.47,0,0,0,0,and beauty health,PROD_aafc543acc
2019-01-07,Fashion accessories,Fashion accessories,6.0,97.61,97.61,0,0,0,0,accessories fashion,PROD_c993e6031f
2019-01-24,Sports and travel,Sports and travel,10.0,78.77,78.77000000000001,0,0,0,0,and sports travel,PROD_75f6c13b2a
2019-02-02,Health and beauty,Health and beauty,1.0,18.33,18.33,0,0,0,0,and beauty health,PROD_aafc543acc
2019-01-06,Food and beverages,Food and beverages,10.0,89.48,89.47999999999999,0,0,0,0,and beverages food,PROD_4e4afdb86b
2019-02-11,Fashion accessories,Fashion accessories,10.0,62.12,62.120000000000005,0,0,0,0,accessories fashion,PROD_c993e6031f
2019-03-05,Food and beverages,Food and beverages,3.0,48.52,48.52,0,0,0,0,and beverages food,PROD_4e4afdb86b
2019-03-09,Electronic accessories,Electronic accessories,6.0,75.91,75.91,0,0,0,0,accessories electronic,PROD_ec3b6d061e
2019-01-22,Home and lifestyle,Home and lifestyle,9.0,74.67,74.67,0,0,0,0,and home lifestyle,PROD_0976a9e082
